POP_ID,POPULATION,AREA,WATERBODY,ANALYSIS_YR,SPECIES,RUN_TYPE,NATURAL_SPAWNERS_TOTAL,ENUMERATION_METHODS,ESTIMATE_METHOD,ESTIMATE_CLASSIFICATION,ESTIMATE_STAGE,RELIABILITY,START_DTT,END_DTT,WATERSHED_CDE,FULL_CU_IN
127,Thunder River (Clearwater) Coho,29J,THUNDER RIVER,2001,Coho,FALL,,,Insufficient Information,RELATIVE ABUNDANCE (TYPE-4),FINAL,,2001-11-06,2001-11-13,129-743000-00000-00000-0000-0000-000-000-000-000-000-000,CO-09
128,Guichon Creek (Lilloet) Coho,29F,GUICHON CREEK,2018,Coho,FALL,,,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,,2018-11-03,2018-11-13,120-246600-29600-00000-0000-0000-000-000-000-000-000-000,CO-07
132,Hiuihill Creek (Salmon Arm) Coho,29K,HIUIHILL CREEK,2016,Coho,FALL,,,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,,2016-10-07,2016-11-23,128-453400-03900-00000-0000-0000-000-000-000-000-000-000,CO-08
133,Perry River (Salmon Arm) Coho,29K,PERRY RIVER,2024,Coho,FALL,,,Not Applicable,RELATIVE ABUNDANCE (TYPE-4),FINAL,,2024-11-06,2024-11-20,128-831400-58500-00000-0000-0000-000-000-000-000-000-000,CO-08
287,Ahbau Creek (Quesnel) Coho Run 1,29H,AHBAU CREEK,2003,Coho,FALL,,,Not Applicable,UNKNOWN,FINAL,,,,100-481100-07300-00000-0000-0000-000-000-000-000-000-000,CO-48
564,Byrne Creek (Coquitlam) Coho,29C,BYRNE CREEK,1997,Coho,FALL,,Other,Unknown Estimate Method,RELATIVE: VARYING MULTI-YEAR METHODS,NEAR FINAL,MLOW,,,100-012000-00000-00000-0000-0000-000-000-000-000-000-000,CO-47
572,Calkins Creek (Chilliwack) Coho,29E,SEMMIHAULT CREEK,1997,Coho,FALL,,,Not Applicable,UNKNOWN,NEAR FINAL,,,,,
590,Campbell River (Surrey) Coho,29B,CAMPBELL RIVER,1996,Coho,FALL,,Other,Unknown Estimate Method,UNKNOWN,NEAR FINAL,,,,900-000500-00000-00000-0000-0000-000-000-000-000-000-000,CO-01
806,Crazy Creek (Salmon Arm) Coho,29K,CRAZY CREEK,2007,Coho,FALL,,,Not Applicable,UNKNOWN,FINAL,,,,128-831400-63800-00000-0000-0000-000-000-000-000-000-000,CO-08
1080,Giesbrecht Spawning Channel (Chilliwack) Coho,29E,GIESBRECHT SPAWNING CHANNEL,1997,Coho,FALL,,Dead Pitch,Unknown Estimate Method,TRUE ABUNDANCE (TYPE-1),NEAR FINAL,MHIGH,,,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,CO-47
1170,Harper Creek (Clearwater) Coho,29J,HARPER CREEK,2001,Coho,FALL,,,Insufficient Information,UNKNOWN,FINAL,,2001-10-25,2001-10-25,129-190100-51200-00000-0000-0000-000-000-000-000-000-000,CO-09
1505,Little Horsefly River (Williams Lake) Coho,29G,LITTLE HORSEFLY RIVER,2018,Coho,FALL,,,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,,2018-10-24,2018-11-08,160-635400-14100-00000-0000-0000-000-000-000-000-000-000,CO-48
1624,Maple Creek (Coquitlam) Coho,29C,MAPLE CREEK,1996,Coho,FALL,,,Not Applicable,UNKNOWN,NEAR FINAL,,,,100-024500-11232-00000-0000-0000-000-000-000-000-000-000,
1720,Middle Shuswap River (Salmon Arm) Coho Run 2,29K,SHUSWAP RIVER - MIDDLE,2000,Coho,FALL,,,Not Applicable,UNKNOWN,NEAR FINAL,,2000-09-15,2000-11-15,128-835500-00000-00000-0000-0000-000-000-000-000-000-000,CO-08
1794,Murray Creek (Surrey) Coho,29B,MURRAY CREEK,1997,Coho,FALL,,"Stream Walk, Other",Unknown Estimate Method,RELATIVE: VARYING MULTI-YEAR METHODS,NEAR FINAL,LOW,1997-12-03,1998-01-29,900-004300-66600-00000-0000-0000-000-000-000-000-000-000,CO-01
1812,Nechako River (Prince George) Coho,29I,NECHAKO RIVER,2004,Coho,FALL,,,Unknown Estimate Method,PRESENCE-ABSENCE (TYPE-6),FINAL,,2004-11-16,2004-11-16,180-000000-00000-00000-0000-0000-000-000-000-000-000-000,CO-48
1826,Nevin Creek (Chilliwack) Coho,29E,NEVIN CREEK,1996,Coho,FALL,,Bank Walk,Unknown Estimate Method,UNKNOWN,NEAR FINAL,LOW,,,100-074100-68900-65900-0000-0000-000-000-000-000-000-000,
1844,Nicomekl River (Surrey) Coho,29B,NICOMEKL RIVER,1996,Coho,FALL,,Other,Unknown Estimate Method,UNKNOWN,NEAR FINAL,LOW,,,900-004300-00000-00000-0000-0000-000-000-000-000-000-000,CO-01
1925,Peach Creek (Chilliwack) Coho,29E,PEACH CREEK,2011,Coho,FALL,19,,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,,2011-10-12,2012-01-10,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,CO-47
2075,Reinecker Creek (Salmon Arm) Coho,29K,REINECKER CREEK,1998,Coho,FALL,,,Not Applicable,UNKNOWN,NEAR FINAL,,,,128-913000-00000-00000-0000-0000-000-000-000-000-000-000,
2143,Schoolhouse Creek (Coquitlam) Coho,29C,COMO CREEK,1997,Coho,FALL,,Other,Unknown Estimate Method,RELATIVE: VARYING MULTI-YEAR METHODS,NEAR FINAL,LOW,,,100-022200-00000-00000-0000-0000-000-000-000-000-000-000,CO-47
